,Vedio Urls,No of Views,Date Created,NO of Comments,comments,Likes,Dislikes
10,https://www.youtube.com/watch?v=NhskHQ9bqlo,633218,"Dec 10, 2008",20,"['Do all Japanese homes have white leather sofas?  I not only want Maru, I want a home like his.  Beautiful floors, no crap lying around...  Something to aspire to.', ""He's not afraid of anything. My cat runs and hides, even before I turn the cleaner on."", ""Why can't my cats be that calm around a vacuum cleaner instead of running around like the world is ending."", ""This is NOT a normal cat. My cats run away from the vacuum as if it's the dog from hell, not sit there and swat at it, lol."", 'man you japanese guys must have different water ....most "" SUPERRELAXED"" cats on youtube come from japan ...my cat would allready have jumped out of the next window if I would even enter the room with a vacuum cleaner.', 'I ain’t moving for mama from my red box says Maru', ""That's the first cat I've ever seen not run a mile at the sound of a hoover."", 'Maru is a beast.', '0:03 Maru is looking at his owner and thinking ""What do you think you\'re doing?""', ""Who's owned that apartment??  MARUUUUU!!!!!"", 'Awesome looking Japanese vacume cleaners...', 'I love Maru and all, but that vacuum cleaner is awesome looking!', ""For Maru there's always a chance to play"", ""Maru's awesome..! my cat's so scared of the vacuum cleaner... :'D"", 'Maru\'s just like ""Um, excuse me, trying to sit in my box here.""', 'SLURP! Oh, oh, where`s Maru?! ;-)', '""This world is my playground.... and that INCLUDES the vacuum. No fear of loud noises, me!... Not if it\'s mine, which it is.""', 'Everything in life is a toy to Maru!', ""My cat nico likes to watch maru with me. I think she's in love."", '0:10 ht best wtf human face']",1.4K,36
11,https://www.youtube.com/watch?v=-Q88A54W04U,3486,"Feb 15, 2009",1,['un caño yo tengo uno es un cañon '],2,1
12,https://www.youtube.com/watch?v=cBW3vcOEB2Y,90,"Mar 26, 2009",0,no Comments ,0,0
13,https://www.youtube.com/watch?v=56yxrXhScyo,1076,"Mar 23, 2011",0,no Comments ,1,0
14,https://www.youtube.com/watch?v=c1FBptbYp3I,697,"Jan 15, 2010",0,no Comments ,0,0
15,https://www.youtube.com/watch?v=vFMzMNDlnBs,662,"Jul 28, 2011",0,no Comments ,1,0
16,https://www.youtube.com/watch?v=Xwzft7Hakcc,401,"Jan 25, 2009",3,"['コメントありがとうございます。\nカモは種類を覚えるのが難しいですね。\n特に♀は特徴が少ないので、見分けるのがやっかいです。', 'コメント有り難うございます。\nヒドリガモは色が綺麗ですよね。\n私も好きな鳥さんです。', '私の見たときもいつもカップルで仲良しな印象がありますね。色合いや鳴き声もとても好きな鴨です。']",5,0
17,https://www.youtube.com/watch?v=cEcAR9pc6jQ,64,"Nov 17, 2010",0,no Comments ,0,0
18,https://www.youtube.com/watch?v=F7lk2A7UT9Q,1897,"Apr 18, 2011",0,no Comments ,5,1
19,https://www.youtube.com/watch?v=gxJ6gOEBmJU,863,"Jul 23, 2009",1,"[""How can you eat them when they have so much personality? I don't know... seems quite odd to me.""]",8,0
20,https://www.youtube.com/watch?v=kVb2NsMapJM,1379,"Feb 12, 2010",2,"['@Ponchobus \nHIMRは当時としては画期的だったんでしょうけどね。ノンステップ・LEDに押されて無くなっていく姿には時代の変化を感じます。\nD代と生き残りのC代(C164,C173)はおそらく来年度中に全車無くなるでしょうから、僕がいつも使う渋谷営業所のバスは全てノンステップとなりますね。他営業所だとE代がノンステップじゃないところもあるので何とも言えませんが。', 'HIMRだけは見たことなんです・・・・。\n\nChasseとか、ERIP、MBECSは見たことあるんですがね・・・。\n\nしかしいくらハイブリッドでもD代ですと今年中でしょうか？都会ってやっぱすごいですね。\n地元はこれから、91年度車が廃車になるところですよ・・・。']",1,0
21,https://www.youtube.com/watch?v=oVyt_92ZxhY,24,"Apr 17, 2009",0,no Comments ,1,0
22,https://www.youtube.com/watch?v=anyOgAEGRBw,6478,"Mar 21, 2010",0,no Comments ,5,0
23,https://www.youtube.com/watch?v=-VgWHKeRRjs,500,"Aug 22, 2009",0,no Comments ,1,1
24,https://www.youtube.com/watch?v=YuU8n7nHPZo,893,"Feb 7, 2009",2,"['chester : ya they wouldent wash so we had other uses for them after hours and hours of barracks support but uf u watch our other vids we didnt work hard at that eather, lol go navy!!!', '@countryboy9384 : ya they wouldent wash so we had other uses for them after hours and hours of barracks support but uf u watch our other vids we didnt work hard at that eather, lol go navy!!!']",1,1
25,https://www.youtube.com/watch?v=5Q-FDGyjiZ8,36996,"Sep 16, 2008",6,"[""nice video!\nwhat's the song's name?"", 'complimenti, ottimo gommone e ottimo video.. mi dici il titolo della canzone, grazie..', 'what is the music?', 'the song is ""Dont joke with fire"" by Dr Alban\n\nhe says thanks dr alban in the beginning of the video', 'i bought the same boat and put a 20 hp honda on it and found if you dont pump up the keel it works alot better it doesnt porpus at all and no water comes in over your transum....try it', 'güzel görüntüler.bende de 6 hp motorlu 3 metre bot var.halen uzatmalı öğrenciliğim ve kriz nedeniyle maddi sorunlar da yaşamaktayım durumumu düzeltebilirsem 25 hp 3.50/3.80 civarı bir bot düşünüyorum.iyi dalışlar,başarılar.']",11,2
26,https://www.youtube.com/watch?v=vOhuSimTPDY,428,"Nov 8, 2009",0,no Comments ,3,0
27,https://www.youtube.com/watch?v=p3ZBpGUFnDs,111814,"Feb 25, 2010",0,no Comments ,670,56
28,https://www.youtube.com/watch?v=TKadOIk-uPI,30504,"Sep 27, 2010",7,"['liindo desfile!! \x7fProteção Divina aew pra todos macanudos da rodagem!', 'volvo fh azul lindo', 'hj estou com 11 e ainda  quero ser amigo ', 'Garanto qe corno é voce pra saber neh... Fika criticando os camioneiros qe trabalham e dao duro pra ter oqe tem... e vc fika em casa sem fazer nada...\nqem cncorda da joinha....', 'tenho 10 anos e quero se camionero', 'SALVE MUMU SILVA ...', 'cara vc pensa q eles sao chifrudo corno e vc eles trabalhan o dia enteiro quem concorda da joinha']",73,2
29,https://www.youtube.com/watch?v=-O3P4Kg8ZDk,5121,"Dec 6, 2009",3,"[""@Eadwine17 It's gray. Its a bead blasted finish. They do make a black bladed version though."", 'is the blade steel gray or black? i cant tell from the lighting', 'finally. a review thats not in russian.']",13,9
30,https://www.youtube.com/watch?v=sHzw4HncgjA,3127,"Aug 26, 2011",2,"[""Thanks for posting the first video I've seen reflecting prototypical speeds.  It is a joy to watch the valve motion.  But as Vance said, it needs a more distinct chuff to emphasize that slow speed.  The price you pay for butane firing, I think.  Beautiful job weathering and driving.\nroyce"", 'Luv the angle shots..and the weathering on the buildings.\nEBT valve gear action is also interesting...']",21,0
31,https://www.youtube.com/watch?v=UDF9_aeY8XM,15551,"Feb 6, 2009",2,"['thanks for sharing, i can see walling bazar', 'thanks for sharing..']",13,4
32,https://www.youtube.com/watch?v=UYBOiRbRYT8,11,"Jun 1, 2011",0,no Comments ,0,0
33,https://www.youtube.com/watch?v=5c_ZKOafL4Y,1085,"Apr 20, 2009",0,no Comments ,3,0
34,https://www.youtube.com/watch?v=VyR3pEuCdi8,533,"Sep 6, 2011",0,no Comments ,0,0
35,https://www.youtube.com/watch?v=PpX6lJOP6ng,13,"Oct 3, 2011",0,no Comments ,0,0
36,https://www.youtube.com/watch?v=X9YJfUZw61o,371,"Mar 1, 2009",2,"[""My Parents had her since she was a kitten and now we've had her for the past 13 years"", 'OMG You must have taken great care of this cat for her to have lived so long! I know someone with a 23-year-old cat, and she is blind but not deaf (yet).']",1,0
37,https://www.youtube.com/watch?v=G_vfOIH_vAw,1671,"Oct 2, 2011",0,no Comments ,8,0
38,https://www.youtube.com/watch?v=6DyBHs5rtDI,2246,"Apr 12, 2011",1,['This looks terrible...'],0,4
39,https://www.youtube.com/watch?v=uEeLz2nK9nY,2509,"Jun 21, 2008",11,"['Yeah, I love this lashup! Thanks!', ""Awesome! It's a sweet unit. :)"", ""Yeah, it's awesome. :)"", 'Lol, ya. Thanks, Jackson. They were going faster here because in the other video they were slowing to a stop since track work had just been done. The coal train ahead of them also stopped on the main...RIGHT in front of us.', ""Thats awesome Those 8's were cooking!! nice vid!"", 'UP BELLS!\nhahah\nlove those things.', 'Agreed. It was a pretty good spot.', 'its like the same clip only they are faster. awesome video jess!!', ""Love those two General Electric Transportation Systems built 4 axles!! The GE B40-8 and B40-8W are awesome and it's  cool BNSF Railway still has them! They were AT&SF engines before 1995 when Santa Fe and Burlington Northern Merged! I sure wish we still had the old GE B40-8s and Derated B20-8s at CSX Transportation were I work. Sure miss them and hate I never got to work in one! Awesome catch!!"", 'lol.', 'ya, next time we should go here for a while']",21,0
40,https://www.youtube.com/watch?v=9KOWgmeLjN8,1914,"Aug 6, 2011",20,"[""@thelockkk yah lol but it's so hard to close & open easily! Man I wish the put a thicker blade & made the knife a little more larger"", '@Halfmoon67 Thanks man looking forward to more of your vids. hope this was helpful', ""@ReppinTheTexas I've been workin on that vid for Oromoto for weeks cuz he asked me that too. Waiting on my knife to get back from maker then I'll post the vid btw what's your top 3?"", '@NeptuneKnives I am really looking forward to seeing that one! :-)', 'Awesome video man, it is really interresting! Thanks for sharing your thoughts!', '@interista7878 absolutly agree about the Tri Ad just havent gotten around to it yet sir!', ""@NeptuneKnives Do it bro! I disassembled my Hold Out II today for a quick lube and it's just gorgeous in it's machining and materials (and not just with Cold Steel standards, but gorgeous - period). It's guaranteed to blow you away if you enjoy tinkering with the internals; and especially in the polished versions. \n\nwatch?v=Z8Um7tjXwvk "", '@NeptuneKnives \nCheck out the Mantis Tough Tony or the Mantis Pit Boss, I think they match what you are looking for.', ""@traderjoes not a fear just info for others to consider when using their folders to know what to expect. As for the flexing idea for a knife to lock that's not necessary that's why blade tangs have a slant cut so the lockbar can slide in & stop at some point. Custom knifemakers & even strider harden the Ti & on some really nice knives there's the addition of tool steel to the lockbar surface to make it even more rigid. But yes T flexes but mainly when pushed to. Fixed blade debate is another vid"", 'Another great video Dave! I gotta stop being fat and put out another review!', '@NeptuneKnives my collection is nothing like your but i love my Emerson cqc8 that i got about a month ago. Although i did just order my first Sebenza 21 and waiting for that to come in so im sure that will be my second one.. My Para 2 is good but came with blade play which pissed me off, and my benchmade 940 is good but is now starting to have come weird noise coming from the spring thing when i open it. like its griding lol. thats why im looking for your suggestions but not to expensive', ""Another great vid man:) I personally like the speed and access of a frame or liner. But I do like the reassuring snap of a back lock. I have two CS knives with the Tri Ad lock and they really do feel a bit more sturdier. But then again I'm mainly a collector and when I do use my knives it's for opening boxes and letters lol. If I was ever to be going into a situation knowing I needed something strong, it would have to be a fixed blade:) But of course I can't plan for every situation. Great vid!"", 'Great Series.  Very Well Done.  I have learned more about knife construction in the last two weeks than I know previously.  Thanks Neptune!', ""@ReppinTheTexas People should note the pivot is a spacer basically on the Para 2 (if you watch that vid) so becuase of this it's purposely making space for the blade. Almost all Para 2 minus a couple of hard to find ones here & there have side play. I just take it for what it is & it DOES NOT bother me personally because it is just a slicer ya know? If you got any questions on suggestions or the like you can PM is there a type of knife you're looking towards? I can try to help-thanks for watchin"", ""any thoughts on the manix 2' s caged ball lock?"", '@NeptuneKnives You should really try the Tri-Ad if you haven\'t done so already - it\'s so much more than a ""tweaked lock back"" and strength is only the second best thing about it (durability being the first). The biggest difference with a lock back when speaking friction is it has two friction points and it hooks in at a negative angle, making the lock engage deeper with more friction as you apply pressure. \n\nI can highly recommend the Hold Out II if the tacticool ninja design doesn\'t suit you.', ""Have you ever messed with the microtechnology select fire .manual opener ...it's seems like it would have a strong lock"", ""Finally backlocks. Lol.  I've had a lockback jam with pocket lint before.  I clean them out almost daily bjut one day a large piece of lint dropped down in there and didn't let the lock engage all the way. I noticed it immediately but I had to take a moment to dig it out as it now was squished down in there.  I like lockbacks. More difficult to flick out.  The stretch has got to be the smoothest locback I've ever held.  Now I know why they put the frame cut out on the inside or outside.  Cool th"", 'interesting vid. How do you find that ambitious? I was planning on getting one. I have a thing for small sub 3 inch folders. ', 'Very interesting video...still the TriAd lock from CS is more than impressive; i saw some people taking those folders ( spartan,rajah) beyond abuse (400 pounds hanging on the handle) and they didnt brake....i like very much the TriAd lock, it gives me confidence and the choice of option( for me its important to have the choice of option,im not going to hang 400 pounds on the handle, but rather to have the peace of mind it wont brake)']",15,12
41,https://www.youtube.com/watch?v=gqAG8S9FdFk,18990,"Jun 18, 2011",5,"['@HRodMusic His the best!', 'amazing goal, thx for the upload!', 'Damn amazing', 'Fuck! Arriba chicharito! :D', '@VanguardiaJuvenil10 obviamente estuviste mirando otro partido porque Mexico fue totalmente superior. Cuando Guatemala metio el gol Que fue por error de Mexico, se hecho atras. Este partido deberio de quedarse 4-0 a favor de Mexico pero se salvo de una goliza Guatemala.']",13,1
42,https://www.youtube.com/watch?v=mtUU4WKROxI,6902,"May 13, 2011",3,"['al ser blanco como saves que es fichers y no personata? :)', 'son fichers?', 'donde los conseguiste de ese color? son alvinos? donde vives. yo en california']",20,1
43,https://www.youtube.com/watch?v=7qdPhUFVaXg,2639,"May 22, 2009",0,no Comments ,0,1
44,https://www.youtube.com/watch?v=oci_3gnvNVY,124,"Oct 18, 2011",0,no Comments ,1,0
45,https://www.youtube.com/watch?v=3t3PF5okD-E,2365,"May 3, 2010",6,"['Love the music Mike!!  Regal', 'Very beauty and natural construction. 2 thumbs up!!!', 'click  mauimikecurry   top  right  of  page  to  see rock n roll rio grande  # 6', 'Very nice layout.', '   mrmikecurry1  is  now  under    mauimikecurry   rock n roll rio grande # 6\n   now  out  for  viewing         thank  you  fans     maui', ' sorry  for  trouble  with  this channel. you  yube  would  not  recognize this\naccount for  some  unknown reason. which  means  i  could not  download\n new  video. had  to  open new  account now  at     mauimikecurry   as you\n  can  see  in  upper  right  corner  of  this page. totally  un happy  with this\nsituation, but  had  no  choice  in  matter. will  have to  re - build my channel\n so subscribers  will  have  to  re-subscribe on  new  channel.    maui  mike ']",14,1
46,https://www.youtube.com/watch?v=lNTluqeSFFQ,66262,"Sep 13, 2009",5,"['Great song! 💖✌🌟', ""I wish I would have known he was in Iowa! I went to Arkansas in '08 for Collinfest. That was awesome!!! An entire week of Collin with a concert on Friday night at the high school football field. I was so close to the stage and he sang so sweet! OMG! The shorts are nasty but he looks great!!!! Those look like Iowa cows!!!"", 'LOVE, LOVE, LOVE me some Collin...even Geezer Guy Collin with hiked-up shorts.  He looks fit and happy and never sounded better.', 'the guy on the bass is my couisin dave fowler re rocks', 'Great song! Sounds kind of like the Eagles but better. Collin gets better with age.']",55,5
47,https://www.youtube.com/watch?v=70bqDbw1Fc8,2043,"Feb 17, 2011",0,no Comments ,1,1
48,https://www.youtube.com/watch?v=Yh7zEU5F72o,3068,"Jun 28, 2011",4,"['Thanks!!', '圧倒的な映像美ですね！まるで、その場にいるような臨場感！素敵です。', 'Excellent video!!! Congratulations!!! Best wishes from the Baltic Sea (Rostock, Germany)!', '視聴なされる方は「設定」ー画質1080pHDで見ないと\u3000せっかくの高画質が勿体無いです。']",20,0
49,https://www.youtube.com/watch?v=irU_dwZ551A,191,"Aug 9, 2009",0,no Comments ,1,0
50,https://www.youtube.com/watch?v=bGbCNRwJ0_I,85,"Feb 3, 2010",0,no Comments ,0,0
51,https://www.youtube.com/watch?v=4N0iQNs3u5o,3036,"Apr 13, 2008",0,no Comments ,LIKE,DISLIKE
52,https://www.youtube.com/watch?v=Msu0yai6QKA,3395,"Aug 18, 2009",0,no Comments ,2,0
53,https://www.youtube.com/watch?v=R8OKl4r9aLE,3207,"Apr 17, 2009",0,no Comments ,2,0
54,https://www.youtube.com/watch?v=KcvmfjLQ-Qo,31016,"May 15, 2011",0,no Comments ,23,9
55,https://www.youtube.com/watch?v=PJtSXNakPpg,23699,"Dec 4, 2010",5,"[""Un gris du Gabon a besoin de manger à sa faim , il ne faut pas l'empêcher."", ""vous etes au courant qu'on ne fume pas à coter d'un perroquet ??"", ""LOLLL merci c'est adorable"", ""Pour avoir eu un Gris du Gabon, je suis outré de voir que vous fumez juste à coté de cette merveille de la nature !!!!! j'en déduis que vous possédez un perroquet pour vous amusez vous et vos amis, mais en AUCUNS cas, vous avez choisis d'en posséder un par AMOUR. Je considère votre acte comme de la maltraitance animale !!!!!! la connerie Humaine est un fléau dans ce monde c'est pas croyable !!"", 'Cet pas bon qui mange se que mange vo chat']",71,8
56,https://www.youtube.com/watch?v=m2O7gsIVroU,1804,"Jun 4, 2009",0,no Comments ,3,0
57,https://www.youtube.com/watch?v=alvVx9HVUvA,828,"May 2, 2011",0,no Comments ,0,0
58,https://www.youtube.com/watch?v=72EebY1ZoXk,1126,"Aug 5, 2009",2,"['So muss er!', 'ach Falk du bist auch einer']",0,1
59,https://www.youtube.com/watch?v=pLuuhapEygE,869,"Jul 7, 2011",0,no Comments ,0,0
60,https://www.youtube.com/watch?v=W1juH0nZ8v0,2208,"Apr 24, 2011",2,"['Люблю помню', 'Да тут сам бог велел снимать))P.S:персонажи  в кадре это лишнее,моё мнение.']",8,0
61,https://www.youtube.com/watch?v=MUE4ynWMTsM,1866,"Jun 5, 2010",0,no Comments ,12,1
62,https://www.youtube.com/watch?v=L--TMS61Zvw,43737,"Jun 30, 2007",9,"[""Yeah, I don't own one, lol."", 'Art of class, fantastic boats!', 'peeshaw no lie two of those boats are my friends.... the first one and the one with the gold tail lol :D ive been in them', 'These boats are all great,love the sound of the motors,and the way they look at speed.\n\nMy Dad and I had a Century utility runabout with a flathead Ford V8 in it. After finding the right prop,it would get up and go too. Many good memories. Thanks for sharing the video.', 'both of those boats won awards', 'These are some beauties.', 'These boats are incredible. I am only 20 yrs old and have only ever been in a boat maybe twice in my life, but someday I WILL own a boat like these. My favorite one was the boat at about 37 sec.', ""who cares, you don't buy a boat like this to hve issues"", 'My Dad had a wooden speed boat like the ones shown,  called  ""The Thunder Bug""  back in the 1930s -- He lent it to a friend who tied it up too short at the dock.  When the tide came in -- it got swamped.    ']",29,2
63,https://www.youtube.com/watch?v=HbGqHxLA974,1151,"May 14, 2009",1,['A little too rough handling those babies!'],4,1
64,https://www.youtube.com/watch?v=pZ29lVubMiM,556,"May 12, 2009",2,"['He looks like my little guy except that mine is white. Super cute 🥰🇹🇹', ""That's clearly not a Pekapom, whoever told it was, was lying to you. I had a Pekapom. I can tell it's part Pomeranian, but the face looks nothing like Pekingese or Pomeranian. I knew a woman who bought a dog from a pet store that told her the puppy she bought was a Pekapom, and it turned out to be Pekinggese and Dachshund.""]",3,0
65,https://www.youtube.com/watch?v=0ZcoGxy7zzk,1456,"Aug 20, 2011",1,"['Thank u, rob! Mr t did looked great! Pretty boy did also']",5,1
66,https://www.youtube.com/watch?v=86-K3k9S5_8,42,"Mar 27, 2010",0,no Comments ,0,0
67,https://www.youtube.com/watch?v=usAsP-m-qs4,581,"Jul 24, 2009",0,no Comments ,2,0
68,https://www.youtube.com/watch?v=9KfdTsjy53o,2904,"Aug 11, 2009",0,no Comments ,3,5
